ID,sample_code,sample_type,month,sample_id,Well
1,BESC103_Corvallis_R09_Oct_2018,RH,Oct,RHOct_1,A01
1,BESC103_Corvallis_R09_Oct_2018,RH,Oct,RHOct_1,B01
2,BESC103_Corvallis_R16_Oct_2018,RH,Oct,RHOct_2,C01
2,BESC103_Corvallis_R16_Oct_2018,RH,Oct,RHOct_2,D01
3,BESC148_Clatskanie_R01_Oct_2018,RH,Oct,RHOct_3,E01
3,BESC148_Clatskanie_R01_Oct_2018,RH,Oct,RHOct_3,F01
4,BESC148_Clatskanie_R08_Oct_2018,RH,Oct,RHOct_4,G01
4,BESC148_Clatskanie_R08_Oct_2018,RH,Oct,RHOct_4,H01
5,BESC148_Clatskanie_R17_Oct_2018,RH,Oct,RHOct_5,A02
5,BESC148_Clatskanie_R17_Oct_2018,RH,Oct,RHOct_5,B02
6,BESC148_Corvallis_R07_Oct_2018,RH,Oct,RHOct_6,C02
6,BESC148_Corvallis_R07_Oct_2018,RH,Oct,RHOct_6,D02
7,BESC261_Corvallis_R02_Oct_2018,RH,Oct,RHOct_7,E02
7,BESC261_Corvallis_R02_Oct_2018,RH,Oct,RHOct_7,F02
8,BESC71_Clatskanie_R44_Oct_2018,RH,Oct,RHOct_8,G02
8,BESC71_Clatskanie_R44_Oct_2018,RH,Oct,RHOct_8,H02
9,BESC801_Clatskanie_R41_Oct_2018,RH,Oct,RHOct_9,A03
9,BESC801_Clatskanie_R41_Oct_2018,RH,Oct,RHOct_9,B03
10,BESC801_Corvallis_R07_Oct_2018,RH,Oct,RHOct_10,C03
10,BESC801_Corvallis_R07_Oct_2018,RH,Oct,RHOct_10,D03
11,BESC801_Corvallis_R09_Oct_2018,RH,Oct,RHOct_11,E03
11,BESC801_Corvallis_R09_Oct_2018,RH,Oct,RHOct_11,F03
12,BESC801_Corvallis_R17_Oct_2018,RH,Oct,RHOct_12,G03
12,BESC801_Corvallis_R17_Oct_2018,RH,Oct,RHOct_12,H03
13,BESC835_Corvallis_R16_Oct_2018,RH,Oct,RHOct_13,A04
13,BESC835_Corvallis_R16_Oct_2018,RH,Oct,RHOct_13,B04
14,D411_Clatskanie_R22_Oct_2018,RH,Oct,RHOct_14,C04
14,D411_Clatskanie_R22_Oct_2018,RH,Oct,RHOct_14,D04
15,GW9823_Clatskanie_R08_Oct_2018,RH,Oct,RHOct_15,E04
15,GW9823_Clatskanie_R08_Oct_2018,RH,Oct,RHOct_15,F04
16,GW9823_Clatskanie_R43_Oct_2018,RH,Oct,RHOct_16,G04
16,GW9823_Clatskanie_R43_Oct_2018,RH,Oct,RHOct_16,H04
17,GW9823_Corvallis_R01_Oct_2018,RH,Oct,RHOct_17,A05
17,GW9823_Corvallis_R01_Oct_2018,RH,Oct,RHOct_17,B05
5,BESC801_Corvallis_R02_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_5,C05
5,BESC801_Corvallis_R02_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_5,D05
6,BESC71_Clatskanie_R09_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_6,E05
6,BESC71_Clatskanie_R09_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_6,F05
7,BESC71_Corvallis_R05_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_7,G05
7,BESC71_Corvallis_R05_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_7,H05
13,BESC261_Corvallis_R06_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_13,A06
13,BESC261_Corvallis_R06_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_13,B06
16,D176_Clatskanie_R11_Aug_2019_RH_deltoides,RH,Aug,RHAug_16,C06
16,D176_Clatskanie_R11_Aug_2019_RH_deltoides,RH,Aug,RHAug_16,D06
23,BESC103_Corvallis_R12_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_23,E06
23,BESC103_Corvallis_R12_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_23,F06
26,BESC261_Corvallis_R11_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_26,G06
26,BESC261_Corvallis_R11_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_26,H06
27,BESC22_Corvallis_R07_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_27,A07
27,BESC22_Corvallis_R07_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_27,B07
28,D411_Clatskanie_R26_Aug_2019_RH_deltoides,RH,Aug,RHAug_28,C07
28,D411_Clatskanie_R26_Aug_2019_RH_deltoides,RH,Aug,RHAug_28,D07
29,D176_Clatskanie_R17_Aug_2019_RH_deltoides,RH,Aug,RHAug_29,E07
29,D176_Clatskanie_R17_Aug_2019_RH_deltoides,RH,Aug,RHAug_29,F07
31,BESC801_Clatskanie_R44_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_31,G07
31,BESC801_Clatskanie_R44_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_31,H07
35,BESC103_Clatskanie_R41_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_35,A08
35,BESC103_Clatskanie_R41_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_35,B08
36,BESC103_Corvallis_R14_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_36,C08
36,BESC103_Corvallis_R14_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_36,D08
38,BESC261_Corvallis_R15_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_38,E08
38,BESC261_Corvallis_R15_Aug_2019_RH_trichocarpa,RH,Aug,RHAug_38,F08
