ID,sample_code,sample_type,month,sample_id,Well
1,BESC103_Corvallis_R09_Oct_2018,RH,Oct,RHOct-1-redo2-ITS,A01
1,BESC103_Corvallis_R09_Oct_2018,RH,Oct,RHOct-1-redo2-ITS,B01
2,BESC103_Corvallis_R16_Oct_2018,RH,Oct,RHOct-2-redo2-ITS,C01
2,BESC103_Corvallis_R16_Oct_2018,RH,Oct,RHOct-2-redo2-ITS,D01
3,BESC148_Clatskanie_R01_Oct_2018,RH,Oct,RHOct-3-redo2-ITS,E01
3,BESC148_Clatskanie_R01_Oct_2018,RH,Oct,RHOct-3-redo2-ITS,F01
4,BESC148_Clatskanie_R08_Oct_2018,RH,Oct,RHOct-4-redo2-ITS,G01
4,BESC148_Clatskanie_R08_Oct_2018,RH,Oct,RHOct-4-redo2-ITS,H01
5,BESC148_Clatskanie_R17_Oct_2018,RH,Oct,RHOct-5-redo2-ITS,A02
5,BESC148_Clatskanie_R17_Oct_2018,RH,Oct,RHOct-5-redo2-ITS,B02
6,BESC148_Corvallis_R07_Oct_2018,RH,Oct,RHOct-6-redo2-ITS,C02
6,BESC148_Corvallis_R07_Oct_2018,RH,Oct,RHOct-6-redo2-ITS,D02
7,BESC261_Corvallis_R02_Oct_2018,RH,Oct,RHOct-7-redo2-ITS,E02
7,BESC261_Corvallis_R02_Oct_2018,RH,Oct,RHOct-7-redo2-ITS,F02
8,BESC71_Clatskanie_R44_Oct_2018,RH,Oct,RHOct-8-redo2-ITS,G02
8,BESC71_Clatskanie_R44_Oct_2018,RH,Oct,RHOct-8-redo2-ITS,H02
9,BESC801_Clatskanie_R41_Oct_2018,RH,Oct,RHOct-9-redo2-ITS,A03
9,BESC801_Clatskanie_R41_Oct_2018,RH,Oct,RHOct-9-redo2-ITS,B03
10,BESC801_Corvallis_R07_Oct_2018,RH,Oct,RHOct-10-redo2-ITS,C03
10,BESC801_Corvallis_R07_Oct_2018,RH,Oct,RHOct-10-redo2-ITS,D03
11,BESC801_Corvallis_R09_Oct_2018,RH,Oct,RHOct-11-redo2-ITS,E03
11,BESC801_Corvallis_R09_Oct_2018,RH,Oct,RHOct-11-redo2-ITS,F03
12,BESC801_Corvallis_R17_Oct_2018,RH,Oct,RHOct-12-redo2-ITS,G03
12,BESC801_Corvallis_R17_Oct_2018,RH,Oct,RHOct-12-redo2-ITS,H03
13,BESC835_Corvallis_R16_Oct_2018,RH,Oct,RHOct-13-redo2-ITS,A04
13,BESC835_Corvallis_R16_Oct_2018,RH,Oct,RHOct-13-redo2-ITS,B04
14,D411_Clatskanie_R22_Oct_2018,RH,Oct,RHOct-14-redo2-ITS,C04
14,D411_Clatskanie_R22_Oct_2018,RH,Oct,RHOct-14-redo2-ITS,D04
15,GW9823_Clatskanie_R08_Oct_2018,RH,Oct,RHOct-15-redo2-ITS,E04
15,GW9823_Clatskanie_R08_Oct_2018,RH,Oct,RHOct-15-redo2-ITS,F04
16,GW9823_Clatskanie_R43_Oct_2018,RH,Oct,RHOct-16-redo2-ITS,G04
16,GW9823_Clatskanie_R43_Oct_2018,RH,Oct,RHOct-16-redo2-ITS,H04
17,GW9823_Corvallis_R01_Oct_2018,RH,Oct,RHOct-17-redo2-ITS,A05
17,GW9823_Corvallis_R01_Oct_2018,RH,Oct,RHOct-17-redo2-ITS,B05
5,BESC801_Corvallis_R02_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-5-redo2-ITS,C05
5,BESC801_Corvallis_R02_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-5-redo2-ITS,D05
6,BESC71_Clatskanie_R09_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-6-redo2-ITS,E05
6,BESC71_Clatskanie_R09_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-6-redo2-ITS,F05
7,BESC71_Corvallis_R05_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-7-redo2-ITS,G05
7,BESC71_Corvallis_R05_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-7-redo2-ITS,H05
13,BESC261_Corvallis_R06_Aug_2019_RH_trichocarpa,RH,Aug,RHAug-13-redo2-ITS,A06
