sample ID	forward sequence count	reverse sequence count
D176-R5-Aug2019-16S	457699	457699
B2-16S	415504	415504
Besc835-R41-Oct2019-16S	313060	313060
Besc801-R44-Oct2019-16S	255203	255203
Besc261-corv-R15-Aug2019-16S	228919	228919
D411-R26-Oct2019-16S	224874	224874
Besc148-corv-R5-Oct2019-16S	222923	222923
D176-R5-Oct2019-16S	221837	221837
Besc71-corv-R9-Aug2019-16S	216504	216504
Besc71-corv-R5-Aug2019-16S	186548	186548
Besc71-R48-Oct2019-16S	171998	171998
Besc71-corv-R17-Aug2019-16S	164177	164177
D411-R15-Oct2019-16S	159669	159669
D411-R17-Aug2019-16S	157307	157307
Besc835-corv-R14-Aug2019-16S	154213	154213
GW9823-R35-Oct2019-16S	148250	148250
Besc71-R9-Oct2019-16S	144756	144756
Besc261-corv-R6-Aug2019-16S	143563	143563
Besc22-corv-R12-Aug2019-16S	141340	141340
Besc71-corv-R10-Aug2019-16S	130765	130765
Besc103-corv-R12-Oct2019-16S	121600	121600
Besc22-corv-R7-Aug2019-16S	120864	120864
GW9823-R5-Oct2019-16S	117494	117494
Besc835-corv-R12-Oct2019-16S	114115	114115
Besc835-R8-Oct2019-16S	109057	109057
Besc801-R1-Aug2019-16S	106660	106660
Besc148-R15-Aug2019-16S	104759	104759
Besc261-corv-R11-Oct2019-16S	104664	104664
Besc103-corv-R9-Aug2019-16S	104342	104342
Besc801-corv-R2-Oct2019-16S	102865	102865
Besc148-corv-R4-Aug2019-16S	101525	101525
Besc103-R24-Oct2019-16S	97026	97026
Besc22-corv-R3-Oct2019-16S	90106	90106
Besc835-R22-Oct2019-16S	89659	89659
Besc801-R23-Aug2019-16S	87884	87884
Besc22-corv-R7-Oct2019-16S	87022	87022
Besc71-R17-Oct2019-16S	81229	81229
Besc148-R5-Aug2019-16S	79778	79778
Besc835-corv-R2-Aug2019-16S	76693	76693
Besc71-R3-Aug2019-16S	76485	76485
Besc103-corv-R6-Oct2019-16S	74747	74747
D411-R5-Aug2019-16S	72540	72540
Besc835-corv-R22-Aug2019-16S	70911	70911
Besc71-R48-Aug2019-16S	70307	70307
Besc22-R15-Aug2019-16S	70105	70105
GW9823-R49-Aug2019-16S	66570	66570
Besc148-R8-Aug2019-16S	66031	66031
Besc148-corv-R9-Aug2019-16S	65277	65277
GW9823-R13-Aug2019-16S	64978	64978
B1-16S	63778	63778
D17671-R11-Oct2019-16S	62318	62318
Besc801-corv-R11-Oct2019-16S	61892	61892
D411-R4-Oct2019-16S	61585	61585
Besc103-corv-R3-Aug2019-16S	59694	59694
Besc22-corv-R15-Oct2019-16S	58467	58467
GW9823-R35-Aug2019-16S	57890	57890
GW9823-R6-Aug2019-16S	57755	57755
Besc148-R22-Aug2019-16S	57551	57551
Besc71-R21-Aug2019-16S	57019	57019
Besc148-corv-R1-Aug2019-16S	56386	56386
D176-R6-Aug2019-16S	56128	56128
Besc261-corv-R17-Oct2019-16S	55323	55323
Besc148-corv-R4-Oct2019-16S	53810	53810
Besc835-corv-R12-Aug2019-16S	53102	53102
Besc835-corv-R5-Oct2019-16S	52850	52850
Besc801-corv-R11-Aug2019-16S	52813	52813
Besc148-corv-R5-Aug2019-16S	51344	51344
Besc103-corv-R14-Oct2019-16S	50935	50935
Besc71-corv-R10-Oct2019-16S	48206	48206
D411-R8-Aug2019-16S	48149	48149
Besc71-corv-R5-Oct2019-16S	47059	47059
Besc71-R27-Oct2019-16S	45481	45481
Besc835-R30-Aug2019-16S	45397	45397
GW9823corv-R1-Aug2019-16S	43640	43640
Besc835-corv-R1-Aug2019-16S	43468	43468
Besc148-R5-Oct2019-16S	42615	42615
D411-R4-Aug2019-16S	41623	41623
Besc801-R29-Aug2019-16S	40969	40969
D176-R47-Oct2019-16S	38920	38920
GW9823corv-R5-Oct2019-16S	37824	37824
Besc148-R22-Oct2019-16S	37348	37348
D176-R8-Aug2019-16S	37262	37262
Besc835-R42-Aug2019-16S	37191	37191
Besc901-corv-R7-Aug2019-16S	35064	35064
Besc261-corv-R16-Oct2019-16S	34881	34881
Besc148-R11-Oct2019-16S	33485	33485
D411-R26-Aug2019-16S	32727	32727
Besccorv-R1-Oct2019-16S	30226	30226
Besc103-R41-Oct2019-16S	28591	28591
Besc103-corv-R7-Aug2019-16S	25445	25445
GW9823corv-R5-Aug2019-16S	25392	25392
Besc103-R7-Oct2019-16S	24067	24067
Besc103-R24-Aug2019-16S	12409	12409
GW9823-R49-Oct2019-16S	678	678
Besc22-corv-R4-Aug2019-16S	664	664
NTC-Amp2-16s	10	10
NTC-Amp1-16s	8	8
