sample ID	forward sequence count	reverse sequence count
S104	426653	426653
S168	361837	361837
S103	296091	296091
S41	290598	290598
S139	262497	262497
S112	230269	230269
S166	216736	216736
S171	209188	209188
S79	193804	193804
S123	188011	188011
S181	185589	185589
S167	177107	177107
S68	177052	177052
S108	157372	157372
S150	157077	157077
S133	153532	153532
S111	147941	147941
S49	126999	126999
S83	124870	124870
S57	113682	113682
S76	103388	103388
S119	102896	102896
S144	99229	99229
S176	98202	98202
S110	92138	92138
S117	90319	90319
S185	88762	88762
S158	88645	88645
S64	88324	88324
S182	88135	88135
S113	88054	88054
S157	86513	86513
S45	78932	78932
S172	77624	77624
S72	76686	76686
S82	70411	70411
S73	69967	69967
S154	66239	66239
S77	66060	66060
S35	62995	62995
S51	62058	62058
S115	61407	61407
S88	60864	60864
S69	58955	58955
S155	58772	58772
S47	57706	57706
S184	56496	56496
S147	54938	54938
S17	52098	52098
S173	51511	51511
S187	49870	49870
S143	48463	48463
S128	46480	46480
S6	45211	45211
S107	44126	44126
S31	44014	44014
S121	41726	41726
S98	41687	41687
S114	41507	41507
S33	40330	40330
S120	39881	39881
S62	39854	39854
S87	38920	38920
S149	38490	38490
S81	37277	37277
S159	36860	36860
S175	35804	35804
S129	35568	35568
S80	34321	34321
S5	34013	34013
S126	33666	33666
S61	33530	33530
S23	33027	33027
S75	32865	32865
S66	32263	32263
S100	31914	31914
S161	30117	30117
S127	29690	29690
S54	29439	29439
S163	29161	29161
S65	28966	28966
S162	28953	28953
S84	28395	28395
S134	27106	27106
S67	26690	26690
S78	25976	25976
S165	24968	24968
S18	24610	24610
S60	23451	23451
S8	23433	23433
S183	22523	22523
S7	22074	22074
S1	21571	21571
S20	21245	21245
S50	21185	21185
S142	20803	20803
S97	20427	20427
S27	19990	19990
S89	19915	19915
S71	19739	19739
S48	19678	19678
S137	19491	19491
S160	19127	19127
S42	18982	18982
S74	18791	18791
S59	17622	17622
S3	17391	17391
S136	17329	17329
S170	17059	17059
S9	17053	17053
S102	16116	16116
S34	15539	15539
S116	14819	14819
S125	14764	14764
S101	14728	14728
S56	14689	14689
S22	13822	13822
S151	13443	13443
S105	12970	12970
S25	12881	12881
S85	12585	12585
S24	12457	12457
S46	12429	12429
S141	12388	12388
S131	12242	12242
S16	12177	12177
S53	11650	11650
S40	11630	11630
S37	11232	11232
S109	11069	11069
S164	10811	10811
S55	10679	10679
S4	10667	10667
S152	10227	10227
S130	9957	9957
S122	9900	9900
S58	9771	9771
S63	9725	9725
S2	9560	9560
S29	9371	9371
S52	9267	9267
S43	9046	9046
S14	9011	9011
S32	8975	8975
S180	8907	8907
S38	8867	8867
S26	8854	8854
S169	8838	8838
S99	8590	8590
S135	8587	8587
S153	8374	8374
S70	7837	7837
S44	7640	7640
S106	7622	7622
S30	7596	7596
S36	7582	7582
S140	7562	7562
S28	7376	7376
S156	7353	7353
S10	7329	7329
S124	7280	7280
S19	7234	7234
S177	7112	7112
S138	7109	7109
S86	6926	6926
S11	6782	6782
S179	6740	6740
S186	6689	6689
S145	6613	6613
S13	6419	6419
S15	6222	6222
S148	5945	5945
S12	5687	5687
S178	5254	5254
S39	4539	4539
S146	4499	4499
S21	4252	4252
S132	3128	3128
S118	102	102
S174	91	91
S190	77	77
S192	73	73
S189	62	62
S191	55	55
S188	39	39
S91	14	14
S96	12	12
S95	10	10
S93	7	7
S94	7	7
S92	3	3
S90	1	1
