sample ID	forward sequence count	reverse sequence count
S6A-16S-LE-REDO	304596	304596
S6G-16S-LE-REDO	274886	274886
S3B-16S-LE-REDO	274291	274291
S5A-16S-LE-REDO	259609	259609
S1A-16S-LE-REDO	218858	218858
S1B-16S-LE-REDO	218574	218574
S3A-16S-LE-REDO	204030	204030
S6D-16S-LE-REDO	201414	201414
S3E-16S-LE-REDO	183122	183122
S5E-16S-LE-REDO	178435	178435
S6B-16S-LE-REDO	178054	178054
S5B-16S-LE-REDO	176829	176829
S3F-16S-LE-REDO	169396	169396
S1F-16S-LE-REDO	167707	167707
S1C-16S-LE-REDO	161311	161311
S1E-16S-LE-REDO	158107	158107
S2F-16S-LE-REDO	156548	156548
S4D-16S-LE-REDO	153264	153264
S2E-16S-LE-REDO	145427	145427
S1D-16S-LE-REDO	141103	141103
S2C-16S-LE-REDO	130136	130136
S5F-16S-LE-REDO	126191	126191
GW9823-corv-r1-Aug2019-16S-REDO	122978	122978
S2G-16S-LE-REDO	121046	121046
S2D-16S-LE-REDO	113911	113911
S4C-16S-LE-REDO	113150	113150
Besc835-corv-r12-Feb2018-16S-REDO	113092	113092
S4F-16S-LE-REDO	111130	111130
S5G-16S-LE-REDO	110490	110490
S6G-P4-Root-16S-RE-REDO	109939	109939
GW9823-r35-Oct2019-16S-REDO	106605	106605
S3D-16S-LE-REDO	104549	104549
Besc103-r41-Oct2019-16S-REDO	103452	103452
S3G-P4-Root-16S-RE-REDO	99126	99126
S2B-16S-LE-REDO	96484	96484
S6C-16S-LE-REDO	94928	94928
S1G-16S-LE-REDO	94507	94507
GW9823-corv-r5-Oct2019-16S-REDO	93739	93739
S3C-16S-LE-REDO	92520	92520
Besc-148-r28-Jun2017-16S-REDO	85123	85123
S6B-P3-Root-16S-RE-REDO	83310	83310
S6F-16S-LE-REDO	77905	77905
S5H-16S-LE-REDO	77478	77478
S1H-16S-LE-REDO	77187	77187
S2E-P5-Root-16S-RE-REDO	75841	75841
S9E-P3-Root-16S-RE-REDO	75279	75279
S7C-P4-Root-16S-RE-REDO	74561	74561
S10A-P3-Root-16S-RE-REDO	67228	67228
GW9823-R49-Oct2019-16S-LE-REDO	65243	65243
S6E-16S-LE-REDO	63280	63280
S9H-P3-Root-16S-RE-REDO	62444	62444
Besc801-r41-Aug2018-16S-REDO	60889	60889
Besc103-corv-r6-Feb2018-16S-REDO	51664	51664
S10C-P4-Root-16S-RE-REDO	51428	51428
S6E-P3-Root-16S-RE-REDO	49384	49384
S1A-P3-Root-16S-RE-REDO	49144	49144
Besc103-r7-Oct2019-16S-REDO	47332	47332
S2B-P3-Root-16S-RE-REDO	46974	46974
S1H-P3-Root-16S-RE-REDO	46173	46173
S122-16S-RE-PL1-2-REDO	44367	44367
Besc71-corv-r17-Oct2019-16S-REDO	43380	43380
S8C-P4-Root-16S-RE-REDO	42736	42736
S2H-P3-Root-16S-RE-REDO	41114	41114
S5F-P5-Root-16S-RE-REDO	40722	40722
S2D-P5-Root-16S-RE-REDO	39378	39378
S4F-P5-Root-16S-RE-REDO	39194	39194
S3C-P3-Root-16S-RE-REDO	37883	37883
S6A-P5-Root-16S-RE-REDO	35796	35796
S7D-P4-Root-16S-RE-REDO	35021	35021
S1A-P4-Root-16S-RE-REDO	34759	34759
Besc71-corv-r5-Oct2019-16S-REDO	34557	34557
Besc835-corv-r5-Feb2018-16S-REDO	34169	34169
S6F-P3-Root-16S-RE-REDO	33367	33367
S4B-P3-Root-16S-RE-REDO	33090	33090
S86-16S-RE-PL1-2-REDO	32730	32730
Besc261-corv-r15-Oct2019-16S-REDO	32132	32132
S5H-P3-Root-16S-RE-REDO	30928	30928
S4A-P4-Root-16S-RE-REDO	30115	30115
S6A-P3-Root-16S-RE-REDO	29155	29155
S4E-16S-LE-REDO	26015	26015
S5B-P3-Root-16S-RE-REDO	25801	25801
S4D-P4-Root-16S-RE-REDO	24453	24453
S7H-P3-Root-16S-RE-REDO	24164	24164
S5A-P3-Root-16S-RE-REDO	22975	22975
S146-16S-RE-PL1-2-REDO	22278	22278
S5E-P5-Root-16S-RE-REDO	20648	20648
S4C-P3-Root-16S-RE-REDO	20323	20323
S188-16S-RE-PL1-2-REDO	20279	20279
GW9823-r49-Aug2019-16S-REDO	19637	19637
S179-16S-RE-PL1-2-REDO	19595	19595
S3E-P5-Root-16S-RE-REDO	19319	19319
D411-r15-Oct2019-16S-REDO	18787	18787
Besc801-corv-r17-Aug2018-16S-REDO	18525	18525
S9C-P3-Root-16S-RE-REDO	18508	18508
S180-16S-RE-PL1-2-REDO	18395	18395
S9D-P4-Root-16S-RE-REDO	17127	17127
Besc22-corv-R4-Aug2019-16S-LE-REDO	16783	16783
S124-16S-RE-PL1-2-REDO	16039	16039
S7A-P4-Root-16S-RE-REDO	15545	15545
S4B-P5-Root-16S-RE-REDO	15530	15530
S11-16S-RE-PL1-2-REDO	15106	15106
S4H-P3-Root-16S-RE-REDO	14399	14399
S177-16S-RE-PL1-2-REDO	13987	13987
D411-r26-Feb2018-16S-REDO	13553	13553
S169-16S-RE-PL1-2-REDO	13233	13233
Besc801-corv-r9-Aug2018-16S-REDO	13228	13228
S28-16S-RE-PL1-2-REDO	13062	13062
S148-16S-RE-PL1-2-REDO	12658	12658
S11C-P4-Root-16S-RE-REDO	11687	11687
S12-16S-RE-PL1-2-REDO	11571	11571
Besc103-r22-Aug2018-16S-REDO	10941	10941
S4G-P4-Root-16S-RE-REDO	10545	10545
S178-16S-RE-PL1-2-REDO	10055	10055
Besc835-r8-Oct2019-16S-REDO	9784	9784
S30-16S-RE-PL1-2-REDO	9232	9232
GW9823-r8-Jun2018-16S-REDO	9009	9009
S2H-16S-LE-REDO	8964	8964
Besc71-r21-Aug2019-16S-REDO	8905	8905
S13-16S-RE-PL1-2-REDO	8840	8840
S132-16S-RE-PL1-2-REDO	8427	8427
S70-16S-RE-PL1-2-REDO	8068	8068
Besc835-r22-Feb2018-16S-REDO	7776	7776
S2F-P4-Root-16S-RE-REDO	7623	7623
S156-16S-RE-PL1-2-REDO	7454	7454
S174-16S-RE-PL1-2-REDO	7451	7451
S44-16S-RE-PL1-2-REDO	7372	7372
S118-16S-RE-PL1-2-REDO	7064	7064
S4G-16S-LE-REDO	6859	6859
S39-16S-RE-PL1-2-REDO	6647	6647
S106-16S-RE-PL1-2-REDO	6596	6596
Besc71-corv-r17-Aug2019-16S-REDO	6119	6119
S10-16S-RE-PL1-2-REDO	6055	6055
S130-16S-RE-PL1-2-REDO	5850	5850
S21-16S-RE-PL1-2-REDO	5751	5751
Besc22-corv-r3-Feb2018-16S-REDO	5608	5608
S145-16S-RE-PL1-2-REDO	5206	5206
Besc71-corv-r9-Aug2018-16S-REDO	4650	4650
S138-16S-RE-PL1-2-REDO	4527	4527
S6C-P4-Root-16S-RE-REDO	4518	4518
S135-16S-RE-PL1-2-REDO	4377	4377
S152-16S-RE-PL1-2-REDO	4353	4353
