sample ID	forward sequence count	reverse sequence count
Besc-22-corv-R16-Jan2019-16S	467257	467257
D411-R17-Fall2018-16S	248545	248545
D411-R7-Fall2018-16S	235109	235109
Besc-71-corv-R1-Jan2019-16S	231438	231438
Besc-261-corv-r3-Jun2017-16S	211285	211285
Besc-261-corv-R10-Fall2018-16S	200475	200475
D176-R9-Fall2018-16S	194223	194223
Besc-801-R16-Fall2018-16S	188062	188062
D176-R5-Fall2018-16S	182804	182804
Besc-103-R23-Fall2018-16S	175223	175223
Besc-835-corv-R16-Jan2019-16S	169959	169959
GW9823-corv-R8-Fall2018-16S	167511	167511
Besc-835-corv-R6-Fall2018-16S	159538	159538
Besc-801-R16-Jan2019-16S	156115	156115
Besc-261-corv-R2-Jan2019-16S	153627	153627
Besc-22-corv-R16-Fall2018-16S	152610	152610
Besc-71-R21-Fall2018-16S	141673	141673
Besc-71-corv-R1-Fall2018-16S	139647	139647
GW9823-R43-Jan2019-16S	139069	139069
Besc-835-R23-Jan2019-16S	138388	138388
GW9823-corv-r12-Jun2017-16S	134181	134181
Besc-835-corv-R16-Fall2018-16S	132890	132890
Besc-835-corv-r17-Jun2017-16S	128007	128007
Besc-148-R1-Jan2019-16S	126649	126649
Besc-801-corv-r6-Jun2017-16S	126530	126530
Besc-801-corv-R9-Jan2019-16S	125183	125183
Besc-71-r24-Jun2017-16S	122867	122867
Besc-801-corv-R7-Jan2019-16S	122489	122489
Besc-261-corv-r16-Jun2017-16S	120660	120660
Besc-103-R11-Jan2019-16S	120358	120358
D411-R7-Jan2019-16S	119721	119721
Besc-835-R23-Fall2018-16S	119164	119164
Besc-835-corv-r11-Jun2017-16S	119006	119006
Besc-835-R41-Jan2019-16S	117332	117332
Besc-148-corv-r8-Jun2017-16S	113905	113905
Besc-103-cor-C90-C97v-R9-Jan2019-16S	111494	111494
Besc-71-corv-r12-Jun2017-16S	110857	110857
Besc-835-corv-R14-Jan2019-16S	110319	110319
Besc-801-R41-Jan2019-16S	108637	108637
Besc-835-corv-R14-Fall2018-16S	103666	103666
GW9823-R32-Fall2018-16S	103321	103321
Besc-261-corv-R15-Jan2019-16S-B12	102785	102785
Besc-103-corv-r10-Jun2017-16S	102090	102090
Besc-71-R3-Jan2019-16S	100988	100988
Besc-71-r4-Jun2017-16S	97259	97259
Besc-801-R3-Jan2019-16S	96069	96069
Besc-801-corv-R9-Fall2018-16S	96049	96049
Besc-835-R10-Fall2018-16S	95905	95905
Besc-148-r12-Jun2017-16S	95458	95458
Besc-103-corv-R3-Fall2018-16S	95414	95414
DD176-R9-Jan2019-16S	95160	95160
GW9823-R32-Jan2019-16S	95098	95098
Besc-71-corv-R9-Fall2018-16S	94206	94206
D411-r14-Jun2017-16S	94193	94193
Besc-835-r20-Jun2017-16S	93484	93484
Besc-71-R3-Fall2018-16S	92823	92823
Besc-22-corv-R6-Fall2018-16S	88362	88362
Besc-22-corv-R11-Fall2018-16S	86988	86988
Besc-103-R23-Jan2019-16S	84772	84772
Besc-103-R40-Jan2019-16S	83182	83182
Besc-835-R10-Jan2019-16S	81174	81174
Besc-835-corv-R6-Jan2019-16S	80434	80434
Besc-148-corv-R1-Jan2019-16S	80193	80193
D411-R17-Jan2019-16S	80086	80086
Besc-22-corv-r14-Jun2017-16S	79704	79704
GW9823-corv-R1-Jan2019-16S	77484	77484
GW9823-corv-r7-Jun2017-16S	76678	76678
Besc-835-R41-Fall2018-16S	76456	76456
Besc-103-corv-R3-Jan2019-16S	74117	74117
Besc-801-R3-Fall2018-16S	73474	73474
Besc-835-r47-Jun2017-16S	73461	73461
GW9823-corv-R8-Jan2019-16S	70220	70220
Besc-801-corv-r10-Jun2017-16S	69649	69649
Besc-22-corv-R6-Jan2019-16S	68629	68629
Besc-148-R8-Jan2019-16S	66422	66422
Besc-148-r7-Jun2017-16S	65846	65846
Besc-22-corv-r9-Jun2017-16S	63958	63958
D411-r23-Jun2017-16S	62331	62331
D176-R17-Jan2019-16S	60877	60877
Besc-148-corv-R7-Jan2019-16S	59942	59942
GW9823-R8-Jan2019-16S	53626	53626
Besc-261-corv-r9-Jun2017-16S	52955	52955
DD176-R5-Jan2019-16S	52918	52918
DD176-r15-Jun2017-16S	51947	51947
Besc-71-R44-Jan2019-16S	51920	51920
Besc-22-corv-R11-Jan2019-16S	51742	51742
D411-R22-Jan2019-16S	50148	50148
Besc-148-corv-r11-Jun2017-16S	44115	44115
Besc-148-R17-Jan2019-16S	42665	42665
Besc-801-corv-R17-Jan2019-16S	42642	42642
Besc-103-corv-R16-Jan2019-16S	39419	39419
Besc-835-r3-Jun2017-16S	38013	38013
Besc-261-corv-R15-Jan2019-16S-G11	37250	37250
Besc-261-corv-R10-Jan2019-16S	29591	29591
Besc-71-corv-R17-Jan2019-16S	22518	22518
Besc-148-r28-Jun2017-16S	285	285
NTC-Amp1-16S	8	8
NTC-Amp2-16S	7	7
Extraction-Blank-16S	6	6
