sample ID	forward sequence count	reverse sequence count
D411-R26-Oct2019-ITS	78210	78210
Besc148-R1A-Oct2018-ITS	77588	77588
Besc835-R10-Oct2018-ITS-A	76814	76814
GW9823corv-R1B-Oct2018-ITS	75690	75690
GW9823corv-R1-Aug2019-ITS	74044	74044
Besc22-corv-R3-Oct2019-ITS	73182	73182
Besc148-corv-R5-Jun2019-ITS	73068	73068
GW9823corv-R1A-Oct2018-ITS	70672	70672
Besc261-corv-R11-Oct2019-ITS	67064	67064
Besc22-corv-R11-Oct2018-ITS	66157	66157
Besc71-R48-Oct2019-ITS	66055	66055
GW9823-R5-Oct2019-ITS	65859	65859
Besc148-R1B-Oct2018-ITS	65246	65246
GW9823-R49-Oct2019-ITS	63042	63042
Besc148-corv-R7-Oct2018-ITS	62739	62739
Besc22-corv-R16-Oct2018-ITS	62313	62313
Besc835-R22-Oct2019-ITS	62140	62140
Besc71-corv-R1-Oct2018-ITS	61721	61721
GW9823-R43-Oct2018-ITS	60841	60841
D176-R5-Oct2019-ITS	60234	60234
Besc71-R27-Oct2019-ITS	60119	60119
D411-R15-Oct2019-ITS	60089	60089
Besc801-R44-Oct2019-ITS	59525	59525
Besc801-R3-Oct2018-ITS	57981	57981
D411-R17-Oct2018-ITS	57406	57406
Besc71-R48-Jun2019-ITS	57176	57176
Besc103-R23-Oct2018-ITS	56889	56889
Besc71-corv-R10-Oct2019-ITS	56203	56203
D411-R7-Oct2018-ITS-A	55973	55973
Besc261-corv-R10-Oct2018-ITS	54758	54758
Besc148-corv-R17-Oct2018-ITS	54730	54730
Besc71-R9-Oct2019-ITS	54231	54231
D411-R4-Oct2019-ITS	53883	53883
Besc71-R3-Oct2018-ITS	53477	53477
Besc22-R15-Aug2019-ITS	53465	53465
Besc148-R11-Oct2018-ITS	53209	53209
besc835-R8-Aug2019-ITS	52249	52249
Besc835-R23-Oct2018-ITS	51714	51714
D176-R5-Oct2018-ITS	51291	51291
Besc148-R11-Oct2019-ITS	51217	51217
Besc71-corv-R7-Aug2019-ITS	50455	50455
Besc835-corv-R14-Oct2018-ITS	50288	50288
Besc71-corv-R5-Oct2019-ITS	50214	50214
Besc801-corv-R11-Aug2019-ITS	50113	50113
D176-R5-Aug2019-ITS	48141	48141
Besc71-corv-R5-Jun2019-ITS	47904	47904
Besc835-R41-Oct2019-ITS	47297	47297
Besc103-R7-Oct2019-ITS	46648	46648
Besc71-R27-Jun2019-ITS	46341	46341
GW9823corv-R5-Jun2019-ITS	45599	45599
Besc71-corv-R9-Aug2019-ITS	45578	45578
Besc801-corv-R14-Aug2019-ITS	44761	44761
Besc71-R9-Jun2019-ITS	44708	44708
Besc22-corv-R3-Aug2019-ITS	44645	44645
Besc801-R44-Jun2019-ITS	44127	44127
GW9823-R35-Oct2019-ITS	43478	43478
Besc801-corv-R2-Oct2019-ITS	43431	43431
Besc103-corv-R12-Oct2019-ITS	43391	43391
Besc103-corv-R14-Jun2019-ITS	43129	43129
Besc71-R21-Aug2019-ITS	43091	43091
Besc103-R5-Aug2019-ITS	43064	43064
D176-R9-Oct2018-ITS	42920	42920
Besc148-corv-R5-Oct2019-ITS	42800	42800
Besc71-R9-Aug2019-ITS	42608	42608
Besc835-corv-R12-Oct2019-ITS	42461	42461
Besc22-corv-R7-Jun2019-ITS	42098	42098
Besc71-R27-Aug2019-ITS	41887	41887
Besc71-corv-R17-Jun2019-ITS	41535	41535
Besc261-corv-R4-Aug2019-ITS	40946	40946
Besc71-corv-R10-Jun2019-ITS	40536	40536
D176-R5-Jun2019-ITS	40506	40506
D411-R17-Aug2019-ITS	40368	40368
Besc103-corv-R6-Oct2019-ITS	40222	40222
Besc801-R8-Aug2019-ITS	40147	40147
Besc148-R22-Jun2019-ITS	39778	39778
Besc103-R24-Aug2019-ITS	39529	39529
Besc835-corv-R5-Oct2019-ITS	39034	39034
Besc103-corv-R12-Aug2019-ITS	38832	38832
Besc148-R11-Aug2019-ITS	38164	38164
Besc22-corv-R7-Aug2019-ITS	38044	38044
Besc103-R24-Jun2019-ITS	37815	37815
Besc26-corv-R13-Aug2019-ITS	37487	37487
Besc71-corv-R10-Aug2019-ITS	37258	37258
Besc148-R11-Jun2019-ITS	36958	36958
GW9823-R35-Jun2019-ITS	36233	36233
Besc835-R11-Aug2019-ITS	36019	36019
Besc801-corv-R2-Aug2019-ITS	35518	35518
GW9823-R35-Aug2019-ITS	35397	35397
