sample ID	forward sequence count	reverse sequence count
S1F-P4-Root-ITS	171969	171969
S7H-P4-Root-ITS	136582	136582
S1G-P4-Root-ITS	135231	135231
S9A-P4-Root-ITS	127655	127655
S5H-P4-Root-ITS	117582	117582
S11B-P4-Root-ITS	115153	115153
S3E-P4-Root-ITS	106613	106613
S9H-P4-Root-ITS	105092	105092
S6E-P4-Root-ITS	102692	102692
S10G-P4-Root-ITS	101332	101332
S9B-P4-Root-ITS	100753	100753
S8F-P4-Root-ITS	100463	100463
S8E-P4-Root-ITS	100430	100430
S4H-P5-Root-ITS	96221	96221
S8A-P4-Root-ITS	95310	95310
S3F-P4-Root-ITS	95031	95031
S11A-P4-Root-ITS	94413	94413
S4H-P4-Root-ITS	93922	93922
S1H-P4-Root-ITS	93693	93693
S9F-P4-Root-ITS	91515	91515
S10H-P4-Root-ITS	90983	90983
S10A-P4-Root-ITS	90621	90621
S7F-P4-Root-ITS	87461	87461
S6H-P4-Root-ITS	86952	86952
S11E-P4-Root-ITS	85707	85707
S5C-P4-Root-ITS	85661	85661
S2E-P4-Root-ITS	85570	85570
S3H-P5-Root-ITS	85557	85557
S8H-P4-Root-ITS	85480	85480
S5F-P4-Root-ITS	84463	84463
S7E-P4-Root-ITS	83687	83687
S7D-P3-Root-ITS	82902	82902
S1E-P4-Root-ITS	82566	82566
S9D-P4-Root-ITS	82509	82509
S1D-P4-Root-ITS	80348	80348
S4D-P3-Root-ITS	80227	80227
S1D-P3-Root-ITS	79111	79111
S3G-P3-Root-ITS	78219	78219
S4C-P4-Root-ITS	77775	77775
S10D-P4-Root-ITS	77119	77119
S5D-P3-Root-ITS	76443	76443
S10F-P4-Root-ITS	76440	76440
S10E-P4-Root-ITS	75919	75919
S6G-P4-Root-ITS	75079	75079
S1A-P4-Root-ITS	74523	74523
S5G-P4-Root-ITS	74330	74330
S4G-P3-Root-ITS	73299	73299
S1H-P3-Root-ITS	72721	72721
S1G-P3-Root-ITS	71428	71428
S8G-P4-Root-ITS	70965	70965
