sample ID	forward sequence count	reverse sequence count
S6C-ITS-LE-REDO	186478	186478
S4D-ITS-LE-REDO	129798	129798
S6E-P3-Root-ITS-RE	118842	118842
S2C-ITS-LE-REDO	118254	118254
S1C-ITS-LE-REDO	117676	117676
S6B-ITS-LE-REDO	110651	110651
S6A-ITS-LE-REDO	109443	109443
D411-R22-Oct2018-ITS	108966	108966
S3C-ITS-LE-REDO	107520	107520
S4D-P4-Root-ITS-RE	106585	106585
S5C-ITS-LE-REDO	105987	105987
S5E-ITS-LE-REDO	103337	103337
S4C-ITS-LE-REDO	102084	102084
S2B-ITS-LE-REDO	101816	101816
Besc261-corv-R6-Aug2019-ITS	92786	92786
S10A-P3-Root-ITS-RE	91945	91945
S3C-P5-Root-ITS-RE	87532	87532
S2D-ITS-LE-REDO	86071	86071
S4F-ITS-LE-REDO	85724	85724
Besc835-corv-R16-Oct2018-ITS	85269	85269
S3A-ITS-LE-REDO	85003	85003
S3E-ITS-LE-REDO	83847	83847
S1B-ITS-LE-REDO	82819	82819
S4B-ITS-LE-REDO	81324	81324
Besc71-R3-Aug2019-ITS	80371	80371
Besc835-R8-Oct2019-ITS	80129	80129
S6E-ITS-LE-REDO	80109	80109
S2A-ITS-LE-REDO	80073	80073
S1D-ITS-LE-REDO	79833	79833
S4H-ITS-LE-REDO	76519	76519
S6D-ITS-LE-REDO	74645	74645
S5A-ITS-LE-REDO	72923	72923
S3F-ITS-LE-REDO	72057	72057
S2G-ITS-LE-REDO	71963	71963
S1E-ITS-LE-REDO	71793	71793
S6F-ITS-LE-REDO	71524	71524
S1F-ITS-LE-REDO	69727	69727
S6G-ITS-LE-REDO	69496	69496
Besc103-corv-R6-Jun2019-ITS	69274	69274
S1G-ITS-LE-REDO	68618	68618
S3B-ITS-LE-REDO	68532	68532
S3G-P4-Root-ITS-RE	67031	67031
S2F-ITS-LE-REDO	66523	66523
S145-ITS-RE-PL1-2	61679	61679
Besc103-R11-Oct2018-ITS	59804	59804
S5F-ITS-LE-REDO	57857	57857
S4E-P3-Root-ITS-RE	55608	55608
S4E-ITS-LE-REDO	55136	55136
S2E-ITS-LE-REDO	54427	54427
S5D-ITS-LE-REDO	53918	53918
Besc261-corv-R10-Oct2018-ITS	53618	53618
S5H-ITS-LE-REDO	51659	51659
S4A-ITS-LE-REDO	51570	51570
Besc261-R2-Oct2018-ITS	49262	49262
S4G-ITS-LE-REDO	48295	48295
Besc801-R7-Jun2018-ITS	48186	48186
S5G-ITS-LE-REDO	44828	44828
S188-ITS-RE-PL1-2	43948	43948
S124-ITS-RE-PL1-2	42454	42454
S63-ITS-RE-PL1-2	42240	42240
S2A-P3-Root-ITS-RE	41694	41694
S187-ITS-RE-PL1-2	39521	39521
S1A-ITS-LE-REDO	39359	39359
S9A-P3-Root-ITS-RE	38542	38542
Besc103-R23-Jun2018-ITS	35814	35814
Besc103-cov-R6-Oct2018-ITS	35447	35447
S99-ITS-RE-PL1-2	34321	34321
S3D-ITS-LE-REDO	32642	32642
S97-ITS-RE-PL1-2	32012	32012
S2H-ITS-LE-REDO	31942	31942
S3H-ITS-LE-REDO	30229	30229
S169-ITS-RE-PL1-2	28303	28303
S16-ITS-RE-PL1-2	28142	28142
S39-ITS-RE-PL1-2	26603	26603
S5B-ITS-LE-REDO	24512	24512
S8-ITS-RE-PL1-2	24482	24482
S4-ITS-RE-PL1-2	20434	20434
S174-ITS-RE-PL1-2	19295	19295
S36-ITS-RE-PL1-2	17709	17709
S118-ITS-RE-PL1-2	16411	16411
S2F-P4-Root-ITS-RE	15397	15397
S32-ITS-RE-PL1-2	15120	15120
S89-ITS-RE-PL1-2	14941	14941
S84-ITS-RE-PL1-2	14401	14401
S116-ITS-RE-PL1-2	14010	14010
S108-ITS-RE-PL1-2	13300	13300
Besc801-corv-R7-Oct2018-ITS	11870	11870
S23-ITS-RE-PL1-2	9871	9871
S103-ITS-RE-PL1-2	9484	9484
S3G-ITS-LE-REDO	8699	8699
S11-ITS-RE-PL1-2	8407	8407
S7H-P3-Root-ITS-RE	8050	8050
S8F-P3-Root-ITS-RE	7754	7754
S121-ITS-RE-PL1-2	7200	7200
S100-ITS-RE-PL1-2	6868	6868
S98-ITS-RE-PL1-2	6637	6637
S86-ITS-RE-PL1-2	6098	6098
S69-ITS-RE-PL1-2	6012	6012
S179-ITS-RE-PL1-2	5103	5103
S180-ITS-RE-PL1-2	4871	4871
S110-ITS-RE-PL1-2	3912	3912
S104-ITS-RE-PL1-2	3711	3711
S10-ITS-RE-PL1-2	3072	3072
S186-ITS-RE-PL1-2	2899	2899
S148-ITS-RE-PL1-2	2625	2625
S15-ITS-RE-PL1-2	2568	2568
S1H-ITS-LE-REDO	887	887
