sample ID	forward sequence count	reverse sequence count
D411-r7-Aug2018-ITS-redo	261547	261547
Besc835-corv-r6-Aug2018-ITS-redo	228013	228013
Besc103-r41-Oct2019-ITS-redo	203124	203124
Besc71-r48-Oct2019-ITS-redo	189634	189634
Besc835-r8-Oct2019-ITS-redo	183277	183277
Besc22-corv-r6-Aug2018-ITS-redo	182462	182462
Besc22-Corv-r6-Jun2017-ITS-redo	178057	178057
BESC148-R5-Jun2019-ITS-redo	174154	174154
Besc148-corv-r3-Jun2017-ITS-redo	170845	170845
GW9823-corv-r5-Oct2019-ITS-redo	170712	170712
Besc103-corv-r15-Jun2017-ITS-redo	165401	165401
BESC835-Corv-R5-Jun2019-ITS-redo	165199	165199
GW9823-corv-r3-Jun2017-ITS-redo	163805	163805
GW9823-r5-Feb2018-ITS-redo	162449	162449
GW9823-r5-Oct2019-ITS-redo	156716	156716
Besc71-corv-r10-Feb2018-ITS-redo	156284	156284
Besc103-corv-r16-Aug2018-ITS-redo	152538	152538
Besc835-corv-r9-Jun2017-ITS-redo	151407	151407
Besc801-corv-r11-Feb2018-ITS-redo	143854	143854
Besc103-corv-r6-Feb2018-ITS-redo	142152	142152
Besc22-corv-r15-Feb2018-ITS-redo	134694	134694
Besc103-corv-r3-Jun2018-ITS-redo	134216	134216
Besc801-r17-Jun2017-ITS-redo	133364	133364
D411-r26-Feb2018-ITS-redo	132833	132833
Besc103-r24-Oct2019-ITS-redo	132184	132184
Besc261-corv-r10-Aug2018-ITS-redo	130639	130639
Besc835-corv-r1-Oct2019-ITS-redo	129407	129407
GW9823-r49-Feb2018-ITS-redo	129079	129079
Besc801-r44-Oct2019-ITS-redo	128991	128991
Besc801-r23-Aug2019-ITS-redo	128135	128135
Besc-148-R1-Jan2019-ITS-redo	127117	127117
GW9823-corv-r5-Feb2018-ITS-redo	126898	126898
Besdc-801-r23-Feb2018-ITS-redo	123944	123944
Besc801-corv-r2-Oct2019-ITS-redo	121556	121556
GW9823-corv-r1-Aug2019-ITS-redo	121335	121335
Besc261-corv-r11-Feb2018-ITS-redo	118970	118970
Besc835-r42-Feb2018-ITS-redo	117888	117888
Besc71-r9-Feb2018-ITS-redo	113523	113523
Besc801-r23-Oct2019-ITS-redo	113432	113432
Besc835-corv-r10-Jun2018-ITS-redo	110805	110805
Besc801-r16-Aug2018-ITS-redo	103171	103171
Besc71-r3-Aug2018-ITS-redo	92588	92588
Besc103-r22-Aug2018-ITS-redo	87452	87452
Besc22-corv-r3-Feb2018-ITS-redo	86942	86942
Besc261-corv-r15-Oct2019-ITS-redo	86084	86084
D411-r4-Feb2018-ITS-redo	81754	81754
Besc103-corv-r12-Feb2018-ITS-redo	53078	53078
Besc261-corv-r12-Aug2018-ITS-redo	42994	42994
GW9823-r5-Aug2019-ITS-redo	38585	38585
GW9823-r35-Oct2019-ITS-redo	709	709
Besc835-r41-Oct2019-ITS-redo	594	594
